schema_name	table_name	source_text
edb	dept	Table "edb.dept"\n\nColumns:\n  deptno | numeric(2,0) | not null | \n  dname | character varying(14) |  | \n  loc | character varying(13) |  | \n\nIndexes:\n  CREATE UNIQUE INDEX dept_dname_uq ON edb.dept USING btree (dname)\n  CREATE UNIQUE INDEX dept_pk ON edb.dept USING btree (deptno)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	MY_NEW_TABLE	Table "public.MY_NEW_TABLE"\n\nColumns:\n  id | integer |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	MY_NEW_TABLE1	Table "public.MY_NEW_TABLE1"\n\nColumns:\n  id | integer |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	Mixed_Case	Table "public.Mixed_Case"\n\nColumns:\n  Col | integer |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	a2	Table "public.a2"\n\nColumns:\n  rowid | integer |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	a3	Table "public.a3"\n\nColumns:\n  id | integer |  | \n  code | character varying |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	a4	Table "public.a4"\n\nColumns:\n  id | integer |  | \n  code | bytea |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	a5	Table "public.a5"\n\nColumns:\n  id | integer |  | \n  reg_date | timestamp without time zone |  | sysdate\n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	all_lower	Table "public.all_lower"\n\nColumns:\n  col | integer |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	all_upper	Table "public.all_upper"\n\nColumns:\n  col | integer |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	clob_test	Table "public.clob_test"\n\nColumns:\n  id | clob |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	emp	Table "public.emp"\n\nColumns:\n  empno | numeric(4,0) | not null | \n  ename | character varying(10) |  | \n  job | character varying(9) |  | \n  mgr | numeric(4,0) |  | \n  hiredate | timestamp without time zone |  | \n  sal | numeric(7,2) |  | \n  comm | numeric(7,2) |  | \n  deptno | numeric(2,0) |  | \n\nIndexes:\n  CREATE UNIQUE INDEX emp_pkey ON emp USING btree (empno)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	epas_emp_contracts	Table "public.epas_emp_contracts"\n\nColumns:\n  contract_id | numeric | not null | \n  emp_name | character varying(50) | not null | \n  base_salary | numeric | not null | \n  commission | numeric |  | \n  contract_date | timestamp without time zone |  | systimestamp\n\nIndexes:\n  CREATE UNIQUE INDEX epas_emp_contracts_pkey ON epas_emp_contracts USING btree (contract_id)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	my_new_test	Table "public.my_new_test"\n\nColumns:\n  id | integer |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	pgbench_branches	Table "public.pgbench_branches"\n\nColumns:\n  bid | integer | not null | \n  bbalance | integer |  | \n  filler | character(88) |  | \n\nIndexes:\n  CREATE UNIQUE INDEX pgbench_branches_pkey ON pgbench_branches USING btree (bid)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	pgbench_history	Table "public.pgbench_history"\n\nColumns:\n  tid | integer |  | \n  bid | integer |  | \n  aid | integer |  | \n  delta | integer |  | \n  mtime | timestamp without time zone |  | \n  filler | character(22) |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	pgbench_tellers	Table "public.pgbench_tellers"\n\nColumns:\n  tid | integer | not null | \n  bid | integer |  | \n  tbalance | integer |  | \n  filler | character(84) |  | \n\nIndexes:\n  CREATE UNIQUE INDEX pgbench_tellers_pkey ON pgbench_tellers USING btree (tid)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	t1	Table "public.t1"\n\nColumns:\n  id | integer | not null | nextval('t1_id_seq'::regclass)\n  name | character varying(50) |  | \n  pass | character varying(50) |  | \n\nIndexes:\n  CREATE UNIQUE INDEX t1_pkey ON t1 USING btree (id)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	t2	Table "public.t2"\n\nColumns:\n  rowid | integer |  | \n  c1 | text |  | \n\nIndexes:\n  CREATE INDEX t2_idx ON t2 USING btree (rowid)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	t3	Table "public.t3"\n\nColumns:\n  rowid | integer |  | \n  col1 | text |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	t5	Table "public.t5"\n\nColumns:\n  rowid | bigint | not null | nextval('rowid_global_seq'::regclass)\n  col1 | text |  | \n  col2 | text |  | \n\nIndexes:\n  CREATE UNIQUE INDEX edb_rowid_793357_index ON t5 USING btree (rowid)\n  CREATE UNIQUE INDEX t5_idx_99 ON t5 USING btree (col1)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	t_basic_info	Table "public.t_basic_info"\n\nColumns:\n  id | integer | not null | nextval('t_basic_info_id_seq'::regclass)\n  name | character varying(100) |  | \n  description | text |  | \n  created_at | timestamp without time zone |  | now()\n\nIndexes:\n  CREATE UNIQUE INDEX t_basic_info_pkey ON t_basic_info USING btree (id)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	t_bulk_data	Table "public.t_bulk_data"\n\nColumns:\n  seq_id | integer | not null | nextval('t_bulk_data_seq_id_seq'::regclass)\n  dummy_data | text |  | \n  random_num | integer |  | \n\nIndexes:\n  CREATE UNIQUE INDEX t_bulk_data_pkey ON t_bulk_data USING btree (seq_id)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	t_edb_compat	Table "public.t_edb_compat"\n\nColumns:\n  emp_id | numeric(5,0) |  | \n  emp_name | character varying(50) |  | \n  hire_date | timestamp without time zone |  | \n  salary | numeric(10,2) |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	t_legacy_oid	Table "public.t_legacy_oid"\n\nColumns:\n  data_val | character varying(50) |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	tb_ddl_migration_test	Table "public.tb_ddl_migration_test"\n\nColumns:\n  emp_id | numeric |  | \n  emp_name | character varying(50) |  | \n  emp_status | character varying(10) |  | \n  created_at | timestamp without time zone |  | sysdate\n\nIndexes:\n  CREATE INDEX idx_created_at_add_months ON tb_ddl_migration_test USING btree (add_months(created_at, 6::numeric))\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	tb_redaction_test	Table "public.tb_redaction_test"\n\nColumns:\n  id | numeric |  | \n  emp_name | character varying(50) |  | \n  phone_number | character varying(20) |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	test	Table "public.test"\n\nColumns:\n  id | integer |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	test1	Table "public.test1"\n\nColumns:\n  id | integer | not null | nextval('test1_id_seq'::regclass)\n  a | timestamp without time zone |  | \n  b | numeric(5,3) |  | \n  c | bytea |  | \n  d | clob |  | \n  e | character varying(10) |  | \n  f | bytea |  | \n\nIndexes:\n  CREATE UNIQUE INDEX test1_pkey ON test1 USING btree (id)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	test1234	Table "public.test1234"\n\nColumns:\n  id | integer |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	test2	Table "public.test2"\n\nColumns:\n  id | integer | not null | nextval('test2_id_seq'::regclass)\n  owner | character varying(100) |  | \n  data | character varying(100) |  | \n\nIndexes:\n  CREATE UNIQUE INDEX test2_pkey ON test2 USING btree (id)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  test2_policy (SELECT)
public	test_table	Table "public.test_table"\n\nColumns:\n  col_one | integer |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	ttt	Table "public.ttt"\n\nColumns:\n  id | integer |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
public	vpemp	Table "public.vpemp"\n\nColumns:\n  empno | numeric(4,0) |  | \n  ename | character varying(10) |  | \n  job | character varying(9) |  | \n  sal | numeric(7,2) |  | \n  comm | numeric(7,2) |  | \n  deptno | numeric(2,0) |  | \n  authid | character varying(12) |  | \n\nIndexes:\n  (none)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
sc_crypto	user_secure_data	Table "sc_crypto.user_secure_data"\n\nColumns:\n  user_id | integer | not null | \n  username | character varying(50) |  | \n  pwd_hash | bytea(64) |  | \n  encryption_key | bytea(32) |  | \n  secure_message | bytea(2000) |  | \n  created_at | timestamp without time zone |  | sysdate\n\nIndexes:\n  CREATE UNIQUE INDEX user_secure_data_pkey ON sc_crypto.user_secure_data USING btree (user_id)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
sc_redact	tb_redaction_test	Table "sc_redact.tb_redaction_test"\n\nColumns:\n  id | integer | not null | \n  emp_name | character varying(50) |  | \n  phone_number | character varying(20) |  | \n  ssn | character varying(15) |  | \n  salary | numeric(15,0) |  | \n\nIndexes:\n  CREATE UNIQUE INDEX tb_redaction_test_pkey ON sc_redact.tb_redaction_test USING btree (id)\n\nForeign-key constraints:\n  (none)\n\nPolicies:\n  (none)
