object_type	schema_name	object_name	source_text
F	dbms_assert	noop	Schema: dbms_assert\nName: noop\nResult data type: anycompatible\nArgument data types: str anycompatible\nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: edbspl\nSource code:\n$__EDBwrapped__$$PROTOCOL2$\nUTF8\ndwkCmYogifMLLwfWlrs3tmf7Bn7E6+wfDqaYBXRGEUgUTPhAStYW+3pR9ZkwQ79N+C80o+KHyXgP\nRJxJgsdkadUZ+hWr8OhDZcPB9W7nBUUFlz/6rb3eRPRSQPRbuSeMyr8LtEwiL3Mz0Q==\n$__EDBwrapped__$
F	dbms_assert	enquote_literal	Schema: dbms_assert\nName: enquote_literal\nResult data type: character varying\nArgument data types: str character varying\nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: edbspl\nSource code:\n$__EDBwrapped__$$PROTOCOL2$\nUTF8\nd0fzBp2eDv+5S1ezraK/DuNieehnA4zTm0BCFiuxKL5cIqziwOXM5VeWndjfGuNwyWrG2WzGvS/D\ndpZTKP+1FVaESKKSAK/FTlKeOehCTKhtG2pyNWlHGVN3VjtHjC5WK7kxSxmhjLxQjuICkmo17k1b\niqP6ue5/c+4qaTRHc98=\n$__EDBwrapped__$
F	dbms_assert	enquote_name	Schema: dbms_assert\nName: enquote_name\nResult data type: character varying\nArgument data types: str character varying, dolower boolean DEFAULT true\nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: edbspl\nSource code:\n$__EDBwrapped__$$PROTOCOL2$\nUTF8\ndy65B9mRY/infEp59KfV/d6xSjfUzOR7Kox6LggiK6tj+XvLk8QfS+cpzgIOylWL+JK74Aa8+uGj\nUM1V6tkpbqvhARecSHxdEEpZTY+/t5Cj4ZcL8epL54tE7RzWbXEfrXoRLMv1zA8qQFNVcB75/+t3\nd1/JtsoJhaWqpL7WgbgXMpg/2GA=\n$__EDBwrapped__$
F	dbms_assert	schema_name	Schema: dbms_assert\nName: schema_name\nResult data type: character varying\nArgument data types: str character varying\nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: edbspl\nSource code:\n$__EDBwrapped__$$PROTOCOL2$\nUTF8\nd1OlY+mRPd2Hf/cDrhu0C5nvVA1cf5YI7cQ3O4xc/7ZMeSDgHqPD480Nro/peQcQB0dP2camlPUP\n2WncObkPeAlLTi7yy3Bxu+RcJnNOAB+9SHgpQHQknM4wbWTKbjUhiqMT9yVTaUXOnlDy0uDVZY3n\nnVm5ubwIK2NzZQ==\n$__EDBwrapped__$
F	dbms_assert	simple_sql_name	Schema: dbms_assert\nName: simple_sql_name\nResult data type: character varying\nArgument data types: str character varying\nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: edbspl\nSource code:\n$__EDBwrapped__$$PROTOCOL2$\nUTF8\nd6k018hKgFnfjUSs+rPy6Hgs8/O3Xagb89u3CkTgV8IeeTAJ7JazCFqYQk6FQ2BhNpXAtQ9OC3rA\nkJHMwZcX3fBr0lPy7nQejiXmdmuErko5u9x7WPWL8peipW058+Su9wJ2hCKylEqiOxOKdyIGcQYO\na75C2XDmDngcbMBvzpY=\n$__EDBwrapped__$
F	dbms_assert	qualified_sql_name	Schema: dbms_assert\nName: qualified_sql_name\nResult data type: character varying\nArgument data types: str character varying\nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: edbspl\nSource code:\n$__EDBwrapped__$$PROTOCOL2$\nUTF8\ndzN0eyNMDVE4TeTPrfOnb7sbWK2lxatuU5NMcCeEN0wCnG7/iv0AVve+jr2cYWrF7ObhYAnqmITS\nHRGtVB+auXy4+eGIOvK0/f3Oo4rok/Wf9Qbiyllu2GOFLUJp2brHma8AdonbHrNg5oSa+gYx5KW8\n+TrD2zjJx1JtmfEdb55Fvc0=\n$__EDBwrapped__$
F	dbms_assert	sql_object_name	Schema: dbms_assert\nName: sql_object_name\nResult data type: character varying\nArgument data types: str character varying\nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: edbspl\nSource code:\n$__EDBwrapped__$$PROTOCOL2$\nUTF8\nd6hGe/gDsC54EMHa7/UB9r3SMfafG6MRLUBxiHLzgxeC4/1iwV18nmbgtQn7Nz2dfGOcopQnnxse\nH/28WakoOvm4lwDZBV9gpV+AvaPgiwTmWnX594jPU9T7L6oYt5mi/9qcyk5ROb22NBEkblfWR1QG\nKvYnLxBLXkONWHSzD24=\n$__EDBwrapped__$
F	public	pg_stat_statements_reset	Schema: public\nName: pg_stat_statements_reset\nResult data type: timestamp with time zone\nArgument data types: userid oid DEFAULT 0, dbid oid DEFAULT 0, queryid bigint DEFAULT 0, minmax_only boolean DEFAULT false\nType: func\nVolatility: volatile\nParallel: safe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: c\nSource code:\npg_stat_statements_reset_1_11
F	public	edb_password_verify	Schema: public\nName: edb_password_verify\nResult data type: boolean\nArgument data types: p_username text, p_password text, p_old_password text\nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: plpgsql\nSource code:\nBEGIN\n    -- 1. 최소 길이 체크 (8자 미만)\n    IF length(p_password) < 8 THEN\n        RAISE EXCEPTION 'Password is too short (minimum 8 characters)';\n    END IF;\n    -- 2. 사용자 ID와 동일한지 체크\n    IF p_password = p_username THEN\n        RAISE EXCEPTION 'Password cannot be the same as the username';\n    END IF;\n    \n    -- 3. (선택사항) 이전 비밀번호와 동일한지 체크는 EDB가 PASSWORD_REUSE 옵션으로 알아서 하므로 여기서 굳이 안 해도 됩니다.\n    RETURN true; -- 통과 시 true 반환\nEND;\n
F	public	fn_count_bulk	Schema: public\nName: fn_count_bulk\nResult data type: integer\nArgument data types: \nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: plpgsql\nSource code:\nDECLARE\n    cnt integer;\nBEGIN\n    SELECT count(*) INTO cnt FROM t_bulk_data;\n    RETURN cnt;\nEND;\n
F	public	fn_decrypt	Schema: public\nName: fn_decrypt\nResult data type: text\nArgument data types: p_data bytea\nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: plpgsql\nSource code:\nDECLARE\n    v_res TEXT;\nBEGIN\n    -- EDB 패키지 (dbms_crypto, utl_raw) 사용\n    v_res := utl_raw.cast_to_varchar2(dbms_crypto.decrypt(p_data));\n    RETURN v_res;\nEND;\n
F	public	edb_password_verify	Schema: public\nName: edb_password_verify\nResult data type: boolean\nArgument data types: p_username character varying, p_password character varying, p_old_password character varying\nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: definer\nLanguage: edbspl\nSource code:\nBEGIN\n    -- 기존 로직 (예시)\n    IF length(p_password) < 4 THEN\n        RETURN FALSE;\n    END IF;\n    RETURN TRUE;\nEND
P	dbms_job	broken	Schema: dbms_job\nName: broken\nResult data type: \nArgument data types: IN job integer, IN broken boolean, IN next_date timestamp without time zone DEFAULT clock_timestamp()\nType: proc\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: edbspl\nSource code:\n$__EDBwrapped__$$PROTOCOL2$\nUTF8\nd+Z1ht7D1Uc0URjrlxLChrd9onW6ElorHkVaiOpLUQKY4RSmDyklIEo9vlgQHW980kpwLm2BEY1P\nVUI4koQ7cv7REyWL2j0MI7bdht489wVs6W1jfvmOnWXuscVq4tLcg/wzyuz6ka0MfQndBUYWLAtK\noLCDGmeyRMtpFmQtCulf9tyYKCxSXYoNO838tqCjpi9Ajxp0qMRYffGK2exRenl7XX+PkWyfmsE0\ntqinsye+v30KtjaAgcAbWFJ/ek0G6o4/NnBWI1HWONurUF0vDyjnlzUWuUayES3m6dw3w5rPgeqj\n9NHzfQ==\n$__EDBwrapped__$
P	dbms_job	change	Schema: dbms_job\nName: change\nResult data type: \nArgument data types: IN job integer, IN what character varying, IN next_date timestamp without time zone, IN "interval" character varying, IN instance integer DEFAULT NULL::integer, IN force boolean DEFAULT false\nType: proc\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: edbspl\nSource code:\n$__EDBwrapped__$$PROTOCOL2$\nUTF8\nd/iy1rQkE6DZPdAoIY1cMHzeRm20t6lsep/AikDj2VpmfnOzgy56VWIudmV9O6n0PnrjnlakIUF6\n7sH4iVB9Lrd7qY7VKdw/0p15UZaHyIJ887EjfoP1bq+6KyxwDdJOvymj/eNO4UTigIX41mMp03Pz\nqammz8ahuXmdrkN4nD3TGStEATQLV4u39GOOMBGblP1LOh4XUxDShlMQZTLUweCAd7pQq/d4bLEa\nZ4+BehMpg5IKbNqj+/vc58EMvAiriQmTkgU=\n$__EDBwrapped__$
P	dbms_job	what	Schema: dbms_job\nName: what\nResult data type: \nArgument data types: IN job integer, IN what character varying\nType: proc\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: edbspl\nSource code:\n$__EDBwrapped__$$PROTOCOL2$\nUTF8\nd7ycMhg0GtfK+NnWZPlUDGg5ylFfuEgkJkYrFBfRTkRO/k8QXpaRrUBAyhqQ2MASf5ESNQSCwMRI\nvTFfWwqmF6L1+VhKmqHLUYmsAgMqkiWU4lt9XjYUyYUIFDQWwCh/9EVB77m9HCEtgVQuGs2ClZDP\nNHdIImAP0Zedi5tleB/2RKtqBUx5DpnRrkzUoPSaNNFvZCtsxffn3Zf/wjbVD+xquHrFrM1kG0KE\nLdHIO5GPiEJRNgL+POaOsuoAym7AiEVq6P3yCel0HuudLs9hW2yRpfal2mlN6NJ57K7mGZ2Y\n$__EDBwrapped__$
P	dbms_job	next_date	Schema: dbms_job\nName: next_date\nResult data type: \nArgument data types: IN job integer, IN next_date timestamp without time zone\nType: proc\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: edbspl\nSource code:\n$__EDBwrapped__$$PROTOCOL2$\nUTF8\ndygCaE/nYNmpetjf/H/c3pAeDAJPPAg+1FZLjX+fz1kta5vLTenN/GJOWfdek5cG5T9JgCJxPnOe\nPy9r1e1Boh5ouFnVyywyNrgvTeq4dIUvt5l48aNVDjrpMxIe4b5YNCO2hqmEZSf4DYQDoID+pnhY\nKDC6HHNuGiFepwOsvT2hOn3OtHnAsPCEfVVp\n$__EDBwrapped__$
P	dbms_job	remove	Schema: dbms_job\nName: remove\nResult data type: \nArgument data types: IN job integer\nType: proc\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: edbspl\nSource code:\n$__EDBwrapped__$$PROTOCOL2$\nUTF8\nd2bMa0AUezGIkPArZ5I+Fm++PrVP/tnimNG2/S68erWLyikQgdk4HgEQ3FjJQcYZ9wq2AczlxUze\nafd4OCLziCbPCjkUL0MnHoVhVEHtvBtey0j9DHCK/L8h0BqyDIrraMQAhVILACiGPTB8lzBoRSfX\nMA4GT4flFwFuHg4vZwwCz12Ac1UN+PFBkw1XsI/v+E2EknMeGJ/FT6WqzTOaJKF++glPaJJW44hR\nR7tEMwJMcK42Y4OXw+McE443PTTJSim5jQL0KsX7rTxFqSujE5usLJSXYOwIxO4K7DtF3q2NDQPL\nsLfAfdEaQg15GE/QRguPwfCpxmJX9po3cTdKXLTcRI1mrjsuiO+nPYo+jhefoFPAgjX4Kvo8myBb\ndWfqTCWWvgy55CvYQCRIX9eXPDMKC/mQCEc=\n$__EDBwrapped__$
P	dbms_job	interval	Schema: dbms_job\nName: interval\nResult data type: \nArgument data types: IN job integer, IN "interval" character varying\nType: proc\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: edbspl\nSource code:\n$__EDBwrapped__$$PROTOCOL2$\nUTF8\nd5UH677CipkAdZkfQLAMVqedFH024oKdGITlguQ0p0PdYxPNzdcTxv81ckD1Q4P37OlTk0hXZdTq\n8/6ooHG6laKtK5ZvIDjZryieiaIUhfIBb2Lp7z4LnlmLna5ZaszsrjMm1lYXutlHLXWw4A4NgIA9\n0Z+NCWRAzHJaBXDs9lX+CE7Q6ZXCrnzhan2IsQN7MgNtU9RrOwcBkHk4nlI3CvuqclHpgxZV540M\ncGz3YLmAVCpYDRSrXePcdZpF5v/b5SATaCYdmXzZ2vE1SFAs0bdMuMvt6qB4oErB\n$__EDBwrapped__$
P	dbms_job	run	Schema: dbms_job\nName: run\nResult data type: \nArgument data types: IN job integer, IN force boolean DEFAULT false, IN manually boolean DEFAULT true\nType: proc\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: edbspl\nSource code:\n$__EDBwrapped__$$PROTOCOL2$\nUTF8\ndwFYHqnE7M7kW8ZJi7Hd4+0DDqcCpqWgKKinnbMdQb1XG9Guzai5PuI0YkpS8kQXHIGhYgzhL251\nojmRXO3ew9RZammGgTpKnievpn25WbuzNBe6SM4Dd9W607hStY13x8qmPxliaPXuOVGR7pP3Osnd\nNefC6Ax4U6lrx6BeN7uBGAydwC7ICQ/y84uPpqLVWZRKF9BLR0WOzPIxshAwbswfl3Oh3Pm0UXw+\n+eJyhvOteIF25ZFJ00W2vbKB/pZN/HVm27yK5c6YP4mXk2wlf0XS5z7+7HY=\n$__EDBwrapped__$
P	dbms_job	submit	Schema: dbms_job\nName: submit\nResult data type: \nArgument data types: OUT job integer, IN what character varying, IN next_date timestamp without time zone DEFAULT clock_timestamp(), IN "interval" character varying DEFAULT NULL::character varying, IN no_parse boolean DEFAULT false, IN instance integer DEFAULT sys.dbms_job.any_instance, IN force boolean DEFAULT false\nType: proc\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: edbspl\nSource code:\n$__EDBwrapped__$$PROTOCOL2$\nUTF8\nd3opjfKcCvizqoYrLyf3N0Z680zfvnklElAb6OUAWVhJTMtwL+xUuQua2JYALbijgIazjeVBopcE\nI/GCPmQTC09wvlvFYFNIrJzHb+dBkB+iH+N/LJSpH6u5SJbKn1rgpJeRQR6fk5E33xvlZhb8wvxN\nJ7dfjG3MRagp1AaOOeQj38vtyA1OjpglTKEpL2phXm+CFUUZqVmXzYIIinh+Re2w7aycsTeVG9ZV\nkGQTVnYXRrhkwJZJtb0IiwK/5psWGXBJ8xCh\n$__EDBwrapped__$
F	public	fn_encrypt	Schema: public\nName: fn_encrypt\nResult data type: bytea\nArgument data types: p_data text\nType: func\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: plpgsql\nSource code:\nDECLARE\n    v_res RAW;\nBEGIN\n    -- EDB 패키지 (dbms_crypto, utl_raw) 사용\n    v_res := dbms_crypto.encrypt(utl_raw.cast_to_raw(p_data));\n    RETURN v_res;\nEND;\n
P	dbms_job	_submit	Schema: dbms_job\nName: _submit\nResult data type: \nArgument data types: OUT job integer, IN what character varying, IN next_date timestamp without time zone DEFAULT clock_timestamp(), IN "interval" character varying DEFAULT NULL::character varying, IN no_parse boolean DEFAULT false, IN instance integer DEFAULT sys.dbms_job.any_instance, IN force boolean DEFAULT false, IN job_search_path text\nType: proc\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: edbspl\nSource code:\n$__EDBwrapped__$$PROTOCOL2$\nUTF8\nd5hZHDpEEkFYdal247+1JvHCLf42m4voOW+S2ev9bWAq2W+jmoVQf/G/62tSEJ7OqdbFNQzBQPjz\nnNXtPdiw7r9/LMZvmU6ii0rD83+VisNm9jaPxQTN3kKFslkbFBBO4+0JDOuQ4o4qFbmhgupPgHoH\n+yBfbWEwXZHy4pd/NmgDBuy8sXEEYMlW4j/0eQlGxyEF4Q9x08Fm2SUDP5WvAjiRYJ1y3Nc3LtnF\nekhMrrEBjAFLdGCDEd+CveQmMnUM26Fxasxr3xO2tuwC6jizK6m55uzxAXaNPKBR+qwUP5ROQMng\nOLTpXA9YNevv2Maj5IbsOAQ/+hp7PIa6ZirUZKqUyuKs5BLkQOh6JC5UriQ6AzryErTRTOO9lezO\nrvwjEj/DCRKUMLsH3ntD9twajtgCDdWzPb6WbJwRjzeRxUPZ03Jw2MC+vPAYgOX5fP94tpkCPQ2B\nZoPhCo3sx6R72hogj9+bxMiBso6/zzsQsuQwqykyhopmGoDCHsYxds++tMD4zof8J6vtJRs+czdf\nD+MnD378Hvi1gVpI9DIl8ebh+Ao99Z1BeS+iOqhoguy96ol+929L0CkrmEung62TXCyl1fXkv/b4\nok9pREyZY+1FLcW1HH3oHkycGpAlGV8hy1vX\n$__EDBwrapped__$
P	dbms_job	_validate_what	Schema: dbms_job\nName: _validate_what\nResult data type: \nArgument data types: IN what character varying\nType: proc\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: edbspl\nSource code:\n$__EDBwrapped__$$PROTOCOL2$\nUTF8\ndyWJbOJ0OOEeYGsKRrr7Ljv5rNHD7pLW/uVD/n53QOb7chFEcK8UD3Y4Q0Iypkia/XFN3JuT7N2n\n5wFtrdpDBM64igBpERqamSGtCdZqBjSzw8bEw7vSuwZCtJnpYbnT8PZJn3ZuYFVbkpxlHT/tX05q\nVCF5CpfLSaI1tZEgTjUr0754KtEyyA/NIHzP+jgKgIVhivEJ+nKrMpXV1EuQ+yVU9x9Lmwif6mVu\nRCzu4Z42mwsO2EOU0OFmQ1zkjouOY2MMNwJaQKIIwzydkajdGaNIufbQs7EsNys=\n$__EDBwrapped__$
P	dbms_job	_create_what_procedure	Schema: dbms_job\nName: _create_what_procedure\nResult data type: \nArgument data types: IN what character varying, IN job integer, IN job_search_path text\nType: proc\nVolatility: volatile\nParallel: unsafe\nOwner: enterprisedb\nSecurity: invoker\nLanguage: edbspl\nSource code:\n$__EDBwrapped__$$PROTOCOL2$\nUTF8\nd7kVFllJ6y55yreHNMYNRfJ6lcPJ4uXE0tEuOjUOVsh8EBx7GXCQOvNY97t2rxDjJZE5e/UuDrfC\nBo2JKcnAaiGUJgU0OAAm1POxFzP/yGDNkLBWm7cx9GFLbMEEqm1EzsWALEiCJeIcRyMOqsNw2VjC\nbg5EMnRYSLYqLcMXzpkssmscLcnnbmfh0+qf0olZKduyTTnH4/ito/pobJIV4yeYJpaXMW/wTKZP\nT6zD+rr/PSt1RzYhFIv6ekv3N4UTHcWS8PjZgHA45rG36OmG+OfNB8+MBBz5IR65OOs9vZ6mdNlY\ns6F2oQ1ZYFlv17GpkZMWJaTjM4PqvMe1r1fgO+pmUunVH0pEAx1lPPT1K6a6CBiFtk3v1vrNXPCW\n0OrYVc24Cu0cKdktZTGnZS7Bndph6J/kaDxMx+WWnTR27dT//X7LOh/3NEYA21Xj4yeUQMrz5/an\n+oRd9+5AwAI0bM95EtObX4dmjv022/NKLo6jhv6e6S+0bQFPZxRl24yhxRmugg+18GP65OLByP/V\nuE17bdGKYnYrB7OYhqfZWYYaeNlltlFKM7loMhRaLf0Xx4iIWTLcSDt6CooTCnoS8n9GOTHjsEG7\n/6JgY+f2ulcjdTrtz4m0LNZ0uIupzRFA73lIsb9l+xEbGQ0CYyocoB57UjIwxlQXaB72tKjvEk4T\nFPLX+Z93Z8DYpPbqlTfYjZjEGLrJLAjjRR0uMOy20myO/rNJztReqljDmMae2v5rsRg8Am4lhhwf\nG+sgNOow64ltmxvRzkLpGX3H7F5S8hs/O7s=\n$__EDBwrapped__$
